MovieName,MovieYear,MovieReleaseDate
129. Per qualche dollaro in più,1965,"July 1, 2023 (Italy)"
127. Der Untergang,2004,"July 4, 2006 (India)"
121. Hamilton,2020,"July 3, 2020 (India)"
122. Snatch,2000,"October 31, 2019 (India)"
119. Metropolis,1927,"February 6, 1927 (France)"
120. Taare Zameen Par,2007,"December 21, 2007 (India)"
117. Indiana Jones and the Last Crusade,1989,"July 26, 1990 (India)"
116. Jodaeiye Nader Az Simin,2011,"October 29, 2012 (India)"
114. To Kill a Mockingbird,1962,"March 6, 1963 (India)"
113. Up,2009,"September 11, 2009 (India)"
112. Heat,1995,"December 15, 1995 (United States)"
115. The Sting,1973,"December 25, 1973 (United States)"
111. A Clockwork Orange,1971,"October 4, 2017 (India)"
110. Full Metal Jacket,1987,"July 10, 1987 (United States)"
109. Le fabuleux destin d'Amélie Poulain,2001,"April 25, 2001 (France)"
108. Scarface,1983,1990 (India)
107. Incendies,2010,"September 12, 2020 (India)"
104. M - Eine Stadt sucht einen Mörder,1931,"August 31, 1931 (Sweden)"
106. Double Indemnity,1944,"July 6, 1944 (United States)"
103. Citizen Kane,1941,"October 13, 2020 (India)"
102. North by Northwest,1959,"December 18, 1959 (United States)"
105. Vertigo,1958,"October 30, 2014 (India)"
97. 2001: A Space Odyssey,1968,"October 4, 2017 (India)"
101. The Apartment,1960,"June 29, 1960 (Canada)"
99. Ikiru,1952,"October 9, 1952 (Japan)"
100. Lawrence of Arabia,1962,"July 30, 2016 (India)"
98. Reservoir Dogs,1992,"September 2, 1992 (India)"
96. Jagten,2012,"January 10, 2013 (Denmark)"
94. Star Wars: Episode VI - Return of the Jedi,1983,"December 16, 1983 (India)"
92. Idi I Smotri,1985,"September 3, 1985 (Philippines)"
93. Toy Story 3,2010,"June 25, 2010 (India)"
91. Requiem for a Dream,2000,"October 4, 2017 (India)"
89. Singin' in the Rain,1952,"April 10, 1952 (United States)"
90. Capharnaüm,2018,"June 21, 2019 (India)"
95. Eternal Sunshine of the Spotless Mind,2004,"December 15, 2019 (India)"
86. Tengoku to Jigoku,1963,"March 1, 1963 (Japan)"
88. 3 Idiots,2009,"December 25, 2009 (India)"
85. Once Upon a Time in America,1984,"June 1, 1984 (United States)"
87. Oppenheimer,2023,"July 21, 2023 (India)"
84. Kimi No Na Wa.,2016,"August 26, 2016 (Japan)"
83. Good Will Hunting,1997,"January 9, 1998 (United States)"
78. Das Boot,1981,"February 17, 1982 (France)"
81. Joker,2019,"October 2, 2019 (India)"
79. Braveheart,1995,"June 22, 1995 (India)"
77. Toy Story,1995,"November 22, 1995 (United States)"
82. Mononoke-hime,1997,"March 2, 2020 (India)"
76. Amadeus,1984,"September 19, 1984 (United States)"
80. Avengers: Endgame,2019,"April 26, 2019 (India)"
75. Coco,2017,"November 24, 2017 (India)"
73. American Beauty,1999,"April 1, 2020 (India)"
74. Oldeuboi,2003,"October 4, 2017 (India)"
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"January 29, 1964 (United Kingdom)"
70. Inglourious Basterds,2009,"October 2, 2009 (India)"
68. The Great Dictator,1940,"March 7, 1941 (United States)"
67. Witness for the Prosecution,1957,"February 6, 1958 (United States)"
71. The Dark Knight Rises,2012,"July 20, 2012 (India)"
69. Alien 2,1986,"July 11, 1987 (India)"
65. Spider-Man: Into the Spider-Verse,2018,"December 14, 2018 (India)"
63. Paths of Glory,1957,"December 25, 1957 (United States)"
64. Avengers: Infinity War,2018,"April 27, 2018 (India)"
66. The Shining,1980,"October 4, 2017 (India)"
62. Sunset Blvd.,1950,"August 4, 1950 (Turkey)"
61. Das Leben der Anderen,2006,"March 23, 2006 (Germany)"
44. Grave of the Fireflies,1988,"April 16, 1988 (Japan)"
42. Whiplash,2014,"February 20, 2015 (India)"
43. The Prestige,2006,"October 20, 2006 (India)"
40. The Departed,2006,"October 31, 2007 (India)"
60. Raiders of the Lost Ark,1981,"December 10, 1981 (India)"
41. American History X,1998,"September 21, 1999 (India)"
39. Léon,1994,"September 23, 1996 (India)"
38. The Lion King,1994,"October 29, 1994 (India)"
36. Psycho,1960,"May 24, 2020 (India)"
37. Gladiator,2000,"September 1, 2000 (India)"
35. Parasite,2019,"January 31, 2020 (India)"
34. Spider-man: Across the Spider-verse,2023,"June 1, 2023 (India)"
33. The Pianist,2002,"April 3, 2019 (India)"
32. Spirited Away,2001,"March 1, 2020 (India)"
31. Back to the Future,1985,"December 9, 1986 (India)"
30. Star Wars: Episode IV - A New Hope,1977,"July 1, 1978 (India)"
28. The Green Mile,1999,"March 16, 2000 (India)"
