104. M - Eine Stadt sucht einen Mörder,1h 57m,"Crime,Mystery,Thriller"
103. Citizen Kane,1h 59m,"Drama,Mystery"
106. Double Indemnity,1h 47m,"Crime,Drama,Film-Noir"
102. North by Northwest,2h 16m,"Action,Adventure,Mystery"
101. The Apartment,2h 5m,"Comedy,Drama,Romance"
100. Lawrence of Arabia,3h 38m,"Adventure,Biography,Drama"
97. 2001: A Space Odyssey,2h 29m,"Adventure,Sci-Fi"
95. Eternal Sunshine of the Spotless Mind,1h 48m,"Drama,Romance,Sci-Fi"
99. Ikiru,2h 23m,Drama
96. Jagten,1h 55m,Drama
93. Toy Story 3,1h 43m,"Animation,Adventure,Comedy"
94. Star Wars: Episode VI - Return of the Jedi,2h 11m,"Action,Adventure,Fantasy"
98. Reservoir Dogs,1h 39m,"Crime,Thriller"
92. Idi I Smotri,2h 22m,"Drama,Thriller,War"
90. Capharnaüm,2h 6m,Drama
89. Singin' in the Rain,1h 43m,"Comedy,Musical,Romance"
88. 3 Idiots,2h 50m,"Comedy,Drama"
91. Requiem for a Dream,1h 42m,Drama
87. Oppenheimer,3h,"Biography,Drama,History"
86. Tengoku to Jigoku,2h 23m,"Crime,Drama,Mystery"
85. Once Upon a Time in America,3h 49m,"Crime,Drama"
84. Kimi No Na Wa.,1h 46m,"Animation,Drama,Fantasy"
82. Mononoke-hime,2h 14m,"Animation,Action,Adventure"
83. Good Will Hunting,2h 6m,"Drama,Romance"
80. Avengers: Endgame,3h 1m,"Action,Adventure,Drama"
81. Joker,2h 2m,"Crime,Drama,Thriller"
78. Das Boot,2h 29m,"Drama,War"
79. Braveheart,2h 58m,"Biography,Drama,History"
77. Toy Story,1h 21m,"Animation,Adventure,Comedy"
75. Coco,1h 45m,"Animation,Adventure,Drama"
73. American Beauty,2h 2m,Drama
76. Amadeus,2h 40m,"Biography,Drama,Music"
74. Oldeuboi,1h 41m,"Action,Drama,Mystery"
71. The Dark Knight Rises,2h 44m,"Action,Drama,Thriller"
70. Inglourious Basterds,2h 33m,"Adventure,Drama,War"
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35m,"Comedy,War"
68. The Great Dictator,2h 5m,"Comedy,Drama,War"
67. Witness for the Prosecution,1h 56m,"Crime,Drama,Mystery"
66. The Shining,2h 26m,"Drama,Horror"
69. Alien 2,2h 17m,"Action,Adventure,Sci-Fi"
65. Spider-Man: Into the Spider-Verse,1h 57m,"Animation,Action,Adventure"
64. Avengers: Infinity War,2h 29m,"Action,Adventure,Sci-Fi"
63. Paths of Glory,1h 28m,"Drama,War"
61. Das Leben der Anderen,2h 17m,"Drama,Mystery,Thriller"
62. Sunset Blvd.,1h 50m,"Drama,Film-Noir"
59. WALL·E,1h 38m,"Animation,Adventure,Family"
60. Raiders of the Lost Ark,1h 55m,"Action,Adventure"
58. Memento,1h 53m,"Mystery,Thriller"
56. Apocalypse Now,2h 27m,"Drama,Mystery,War"
57. Django Unchained,2h 45m,"Drama,Western"
55. 12th Fail,2h 27m,"Biography,Drama"
54. City Lights,1h 27m,"Comedy,Drama,Romance"
53. Alien,1h 57m,"Horror,Sci-Fi"
50. Modern Times,1h 27m,"Comedy,Drama,Romance"
52. C'era Una Volta Il West,2h 46m,Western
51. Rear Window,1h 52m,"Mystery,Thriller"
49. Cinema Paradiso,2h 54m,"Drama,Romance"
48. Intouchables,1h 52m,"Comedy,Drama"
47. Casablanca,1h 42m,"Drama,Romance,War"
45. Seppuku,2h 13m,"Action,Drama,Mystery"
46. The Usual Suspects,1h 46m,"Crime,Drama,Mystery"
44. Grave of the Fireflies,1h 29m,"Animation,Drama,War"
43. The Prestige,2h 10m,"Drama,Mystery,Sci-Fi"
42. Whiplash,1h 46m,"Drama,Music"
41. American History X,1h 59m,"Crime,Drama"
40. The Departed,2h 31m,"Crime,Drama,Thriller"
39. Léon,1h 50m,"Action,Crime,Drama"
37. Gladiator,2h 35m,"Action,Adventure,Drama"
36. Psycho,1h 49m,"Horror,Mystery,Thriller"
35. Parasite,2h 12m,"Drama,Thriller"
34. Spider-man: Across the Spider-verse,2h 20m,"Animation,Action,Adventure"
38. The Lion King,1h 28m,"Animation,Adventure,Drama"
33. The Pianist,2h 30m,"Biography,Drama,Music"
32. Spirited Away,2h 5m,"Animation,Adventure,Family"
31. Back to the Future,1h 56m,"Adventure,Comedy,Sci-Fi"
28. The Green Mile,3h 9m,"Crime,Drama,Fantasy"
29. Terminator 2: Judgment Day,2h 17m,"Action,Adventure,Sci-Fi"
30. Star Wars: Episode IV - A New Hope,2h 1m,"Action,Adventure,Fantasy"
